"constellation","figure_id","order","hip","hd","hr","gl","bf","proper","ra","dec","dist","pmra","pmdec","mag","spect","ci","bayer","flam","con","pole","pole_dist_deg"
"Eri",1,17,18673,25267,1240,"","36Tau9Eri","",3.998745,-24.016215,100.4016,11.41,17.08,4.62,"Ap Si",-0.121,"Tau-9",,"Eri","south",65.983785
"Eri",1,18,21393,29291,1464,"","52Ups2Eri","Theemin",4.592512,-30.562341,65.5738,-48.92,-12.75,3.81,"G8III",0.957,"Ups-2",,"Eri","south",59.437659
"Eri",1,19,20535,28028,1393,"","43    Eri","Beemim",4.400613,-34.016846,90.8265,73.77,57.57,3.97,"K4III",1.468,"",,"Eri","south",55.983154
"Eri",1,20,20042,27376,1347,"","41Ups4Eri","",4.298237,-33.798348,54.5554,62.31,-6.75,3.55,"B9V",-0.108,"Ups-4",,"Eri","south",56.201652
"Eri",1,21,17874,24160,1195,"","","",3.824237,-36.20025,64.3501,-49.42,-56.63,4.17,"G8III",0.927,"",,"Eri","south",53.79975
"Eri",1,23,16870,22663,1106,"","","",3.618244,-40.274545,70.7714,2.77,-14.23,4.57,"K0III",1.023,"",,"Eri","south",49.725455
"Eri",1,24,15510,20794,1008,"Gl 139","","82 G. Eri",3.331944,-43.069784,6.0434,3038.08,726.34,4.26,"G8V",0.711,"",,"Eri","south",46.930216
"Eri",1,26,12486,16815,794,"","Iot Eri","",2.677781,-39.855375,46.1894,135.17,-27.34,4.11,"K0III",1.006,"Iot",,"Eri","south",50.144625
"Eri",1,27,12413,16754,789,"","","",2.663326,-42.89167,35.6888,92.11,-15.07,4.74,"A2V",0.061,"",,"Eri","south",47.10833
"Eri",1,28,11407,15371,721,"","Kap Eri","",2.449755,-47.70384,155.7632,19.97,-5.44,4.24,"B5IV",-0.136,"Kap",,"Eri","south",42.29616
"Eri",1,29,10602,14228,674,"","Phi Eri","",2.275154,-51.512165,47.1254,90.75,-21.9,3.56,"B8IV-V",-0.12,"Phi",,"Eri","south",38.487835
"Eri",1,30,9007,11937,566,"Gl 81A","Chi Eri","",1.932564,-51.608896,17.8508,681.24,284.23,3.69,"G5IV",0.844,"Chi",,"Eri","south",38.391104
"Eri",1,31,7588,10144,472,"","Alp Eri","Achernar",1.628556,-57.236757,42.7533,88.02,-40.08,0.45,"B3Vp",-0.158,"Alp",,"Eri","south",32.763243
"For",1,1,14879,20010,963,"Gl 127A","Alp For","Dalim",3.201249,-28.987618,14.2369,371.49,612.26,3.8,"F8V",0.543,"Alp",,"For","south",61.012382
"For",1,2,13147,17652,841,"","Bet For","",2.818169,-32.405898,52.9381,86.96,158.96,4.45,"G8III",0.981,"Bet",,"For","south",57.594102
"For",1,3,9677,12767,612,"","Nu  For","",2.074844,-29.296819,113.7656,12.56,8.54,4.68,"B9.5p (Si)",-0.156,"Nu",,"For","south",60.703181
"Gem",1,1,28734,41116,2134,"","1    Gem","",6.068671,23.263341,47.5511,-2.6,-119.72,4.16,"G7III",0.835,"",,"Gem","north",66.736659
"Gem",1,2,29655,42995,2216,"","7Eta Gem","Propus",6.247961,22.506799,117.9245,-62.53,-10.24,3.31,"M3III",1.6,"Eta",,"Gem","north",67.493201
"Gem",1,3,30343,44478,2286,"","13Mu  Gem","Tejat",6.382673,22.513586,71.0227,56.84,-108.79,2.87,"M3IIIvar",1.621,"Mu",,"Gem","north",67.486414
"Gem",1,4,32246,48329,2473,"","27Eps Gem","Mebsuta",6.732202,25.131124,259.0674,-5.93,-12.81,3.06,"A3mA6-A9",1.377,"Eps",,"Gem","north",64.868876
"Gem",1,5,30883,45542,2343,"","18Nu  Gem","",6.482719,20.212133,166.9449,-5.98,-14.08,4.13,"B6III",-0.115,"Nu",,"Gem","north",69.787867
"Gem",1,6,32246,48329,2473,"","27Eps Gem","Mebsuta",6.732202,25.131124,259.0674,-5.93,-12.81,3.06,"A3mA6-A9",1.377,"Eps",,"Gem","north",64.868876
